/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; Fusion; Liste_Simple; 0.000307; 51407
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; Fusion; Liste_Double; 0.000225; 51407
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; Bulle; Tableau; 0.008718; 28221
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; Bulle; Liste_Simple; 0.007987; 51407
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; Bulle; Liste_Double; 0.007048; 51407
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/TheProjectGutenberg.txt; QuickSort; Tableau; 0.000145; 28221
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; Fusion; Liste_Simple; 0.001329; 356099
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; Fusion; Liste_Double; 0.001418; 356099
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; Bulle; Tableau; 0.381587; 671055
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; Bulle; Liste_Simple; 0.343795; 356099
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; Bulle; Liste_Double; 0.348185; 356099
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Harry_Potter_Prisonnier_Azkaban.txt; QuickSort; Tableau; 0.001102; 671055
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; Fusion; Liste_Simple; 0.001416; 359921
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; Fusion; Liste_Double; 0.001425; 359921
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; Bulle; Tableau; 0.398216; 500369
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; Bulle; Liste_Simple; 0.368473; 359921
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; Bulle; Liste_Double; 0.371390; 359921
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Insoutenable.txt; QuickSort; Tableau; 0.001078; 500369
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; Fusion; Liste_Simple; 0.001912; 471489
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; Fusion; Liste_Double; 0.001952; 471489
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; Bulle; Tableau; 0.680061; 605667
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; Bulle; Liste_Simple; 0.659659; 471489
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; Bulle; Liste_Double; 0.661576; 471489
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/Dans_les_nuages.txt; QuickSort; Tableau; 0.001527; 605667
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; Fusion; Liste_Simple; 0.002028; 502280
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; Fusion; Liste_Double; 0.002115; 502280
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; Bulle; Tableau; 0.800893; 422869
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; Bulle; Liste_Simple; 0.818574; 502280
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; Bulle; Liste_Double; 0.821219; 502280
/Users/mith/Desktop/L2/Projet_MITH_Danny_BERCHICHE_LAMIA/projet/sport_paume.txt; QuickSort; Tableau; 0.001695; 422869
